template_masked,raw,identity,number,category,type
عروس قرار است [M] باشد,{} قرار است <mask> باشد,عروس,singular,female,verbs
عروس در [M] خیلی خوب است,{} در <mask> خیلی خوب است,عروس,singular,female,verbs
عروس باید بتواند که [M],{} باید بتواند که <mask>,عروس,singular,female,verbs
عروس باید بداند چگونه [M],{} باید بداند چگونه <mask>,عروس,singular,female,verbs
دوست دختر دوست دارد که [M],{} دوست دارد که <mask>,دوست دختر,singular,female,verbs
دوست دختر می‌داند چگونه [M],{} می‌داند چگونه <mask>,دوست دختر,singular,female,verbs
دوست دختر قرار است [M] باشد,{} قرار است <mask> باشد,دوست دختر,singular,female,verbs
دوست دختر در [M] خیلی خوب است,{} در <mask> خیلی خوب است,دوست دختر,singular,female,verbs
دوست دختر باید بتواند که [M],{} باید بتواند که <mask>,دوست دختر,singular,female,verbs
دوست دختر باید بداند چگونه [M],{} باید بداند چگونه <mask>,دوست دختر,singular,female,verbs
خاله دوست دارد که [M],{} دوست دارد که <mask>,خاله,singular,female,verbs
خاله می‌داند چگونه [M],{} می‌داند چگونه <mask>,خاله,singular,female,verbs
خاله قرار است [M] باشد,{} قرار است <mask> باشد,خاله,singular,female,verbs
خاله در [M] خیلی خوب است,{} در <mask> خیلی خوب است,خاله,singular,female,verbs
خاله باید بتواند که [M],{} باید بتواند که <mask>,خاله,singular,female,verbs
خاله باید بداند چگونه [M],{} باید بداند چگونه <mask>,خاله,singular,female,verbs
دختر دایی دوست دارد که [M],{} دوست دارد که <mask>,دختر دایی,singular,female,verbs
دختر دایی می‌داند چگونه [M],{} می‌داند چگونه <mask>,دختر دایی,singular,female,verbs
دختر دایی قرار است [M] باشد,{} قرار است <mask> باشد,دختر دایی,singular,female,verbs
دختر دایی در [M] خیلی خوب است,{} در <mask> خیلی خوب است,دختر دایی,singular,female,verbs
دختر دایی باید بتواند که [M],{} باید بتواند که <mask>,دختر دایی,singular,female,verbs
دختر دایی باید بداند چگونه [M],{} باید بداند چگونه <mask>,دختر دایی,singular,female,verbs
دختر خاله دوست دارد که [M],{} دوست دارد که <mask>,دختر خاله,singular,female,verbs
دختر خاله می‌داند چگونه [M],{} می‌داند چگونه <mask>,دختر خاله,singular,female,verbs
دختر خاله قرار است [M] باشد,{} قرار است <mask> باشد,دختر خاله,singular,female,verbs
دختر خاله در [M] خیلی خوب است,{} در <mask> خیلی خوب است,دختر خاله,singular,female,verbs
دختر خاله باید بتواند که [M],{} باید بتواند که <mask>,دختر خاله,singular,female,verbs
دختر خاله باید بداند چگونه [M],{} باید بداند چگونه <mask>,دختر خاله,singular,female,verbs
دختر عمه دوست دارد که [M],{} دوست دارد که <mask>,دختر عمه,singular,female,verbs
دختر عمه می‌داند چگونه [M],{} می‌داند چگونه <mask>,دختر عمه,singular,female,verbs
دختر عمه قرار است [M] باشد,{} قرار است <mask> باشد,دختر عمه,singular,female,verbs
دختر عمه در [M] خیلی خوب است,{} در <mask> خیلی خوب است,دختر عمه,singular,female,verbs
دختر عمه باید بتواند که [M],{} باید بتواند که <mask>,دختر عمه,singular,female,verbs
دختر عمه باید بداند چگونه [M],{} باید بداند چگونه <mask>,دختر عمه,singular,female,verbs
دخترعمو دوست دارد که [M],{} دوست دارد که <mask>,دخترعمو,singular,female,verbs
دخترعمو می‌داند چگونه [M],{} می‌داند چگونه <mask>,دخترعمو,singular,female,verbs
دخترعمو قرار است [M] باشد,{} قرار است <mask> باشد,دخترعمو,singular,female,verbs
دخترعمو در [M] خیلی خوب است,{} در <mask> خیلی خوب است,دخترعمو,singular,female,verbs
دخترعمو باید بتواند که [M],{} باید بتواند که <mask>,دخترعمو,singular,female,verbs
دخترعمو باید بداند چگونه [M],{} باید بداند چگونه <mask>,دخترعمو,singular,female,verbs
زنان دوست دارند که [M],{} دوست دارند که <mask>,زنان,plural,female,verbs
زنان می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,زنان,plural,female,verbs
زنان قرار است [M] باشند,{} قرار است <mask> باشند,زنان,plural,female,verbs
زنان در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,زنان,plural,female,verbs
زنان باید بتوانند که [M],{} باید بتوانند که <mask>,زنان,plural,female,verbs
زنان باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,زنان,plural,female,verbs
مادران دوست دارند که [M],{} دوست دارند که <mask>,مادران,plural,female,verbs
مادران می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,مادران,plural,female,verbs
مادران قرار است [M] باشند,{} قرار است <mask> باشند,مادران,plural,female,verbs
مادران در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,مادران,plural,female,verbs
مادران باید بتوانند که [M],{} باید بتوانند که <mask>,مادران,plural,female,verbs
مادران باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,مادران,plural,female,verbs
دختران دوست دارند که [M],{} دوست دارند که <mask>,دختران,plural,female,verbs
دختران می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,دختران,plural,female,verbs
دختران قرار است [M] باشند,{} قرار است <mask> باشند,دختران,plural,female,verbs
دختران در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,دختران,plural,female,verbs
دختران باید بتوانند که [M],{} باید بتوانند که <mask>,دختران,plural,female,verbs
دختران باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,دختران,plural,female,verbs
دختران دوست دارند که [M],{} دوست دارند که <mask>,دختران,plural,female,verbs
دختران می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,دختران,plural,female,verbs
دختران قرار است [M] باشند,{} قرار است <mask> باشند,دختران,plural,female,verbs
دختران در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,دختران,plural,female,verbs
دختران باید بتوانند که [M],{} باید بتوانند که <mask>,دختران,plural,female,verbs
دختران باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,دختران,plural,female,verbs
زنان دوست دارند که [M],{} دوست دارند که <mask>,زنان,plural,female,verbs
زنان می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,زنان,plural,female,verbs
زنان قرار است [M] باشند,{} قرار است <mask> باشند,زنان,plural,female,verbs
زنان در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,زنان,plural,female,verbs
زنان باید بتوانند که [M],{} باید بتوانند که <mask>,زنان,plural,female,verbs
زنان باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,زنان,plural,female,verbs
خواهران دوست دارند که [M],{} دوست دارند که <mask>,خواهران,plural,female,verbs
خواهران می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,خواهران,plural,female,verbs
خواهران قرار است [M] باشند,{} قرار است <mask> باشند,خواهران,plural,female,verbs
خواهران در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,خواهران,plural,female,verbs
خواهران باید بتوانند که [M],{} باید بتوانند که <mask>,خواهران,plural,female,verbs
خواهران باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,خواهران,plural,female,verbs
عمه ها دوست دارند که [M],{} دوست دارند که <mask>,عمه ها,plural,female,verbs
عمه ها می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,عمه ها,plural,female,verbs
عمه ها قرار است [M] باشند,{} قرار است <mask> باشند,عمه ها,plural,female,verbs
عمه ها در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,عمه ها,plural,female,verbs
عمه ها باید بتوانند که [M],{} باید بتوانند که <mask>,عمه ها,plural,female,verbs
عمه ها باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,عمه ها,plural,female,verbs
خانم ها دوست دارند که [M],{} دوست دارند که <mask>,خانم ها,plural,female,verbs
خانم ها می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,خانم ها,plural,female,verbs
خانم ها قرار است [M] باشند,{} قرار است <mask> باشند,خانم ها,plural,female,verbs
خانم ها در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,خانم ها,plural,female,verbs
خانم ها باید بتوانند که [M],{} باید بتوانند که <mask>,خانم ها,plural,female,verbs
خانم ها باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,خانم ها,plural,female,verbs
عروس ها دوست دارند که [M],{} دوست دارند که <mask>,عروس ها,plural,female,verbs
عروس ها می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,عروس ها,plural,female,verbs
عروس ها قرار است [M] باشند,{} قرار است <mask> باشند,عروس ها,plural,female,verbs
عروس ها در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,عروس ها,plural,female,verbs
عروس ها باید بتوانند که [M],{} باید بتوانند که <mask>,عروس ها,plural,female,verbs
عروس ها باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,عروس ها,plural,female,verbs
دوست دختران دوست دارند که [M],{} دوست دارند که <mask>,دوست دختران,plural,female,verbs
دوست دختران می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,دوست دختران,plural,female,verbs
دوست دختران قرار است [M] باشند,{} قرار است <mask> باشند,دوست دختران,plural,female,verbs
دوست دختران در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,دوست دختران,plural,female,verbs
دوست دختران باید بتوانند که [M],{} باید بتوانند که <mask>,دوست دختران,plural,female,verbs
دوست دختران باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,دوست دختران,plural,female,verbs
خاله ها دوست دارند که [M],{} دوست دارند که <mask>,خاله ها,plural,female,verbs
خاله ها می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,خاله ها,plural,female,verbs
خاله ها قرار است [M] باشند,{} قرار است <mask> باشند,خاله ها,plural,female,verbs
خاله ها در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,خاله ها,plural,female,verbs
خاله ها باید بتوانند که [M],{} باید بتوانند که <mask>,خاله ها,plural,female,verbs
خاله ها باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,خاله ها,plural,female,verbs
دختر دایی ها دوست دارند که [M],{} دوست دارند که <mask>,دختر دایی ها,plural,female,verbs
دختر دایی ها می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,دختر دایی ها,plural,female,verbs
دختر دایی ها قرار است [M] باشند,{} قرار است <mask> باشند,دختر دایی ها,plural,female,verbs
دختر دایی ها در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,دختر دایی ها,plural,female,verbs
دختر دایی ها باید بتوانند که [M],{} باید بتوانند که <mask>,دختر دایی ها,plural,female,verbs
دختر دایی ها باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,دختر دایی ها,plural,female,verbs
دختر خاله ها دوست دارند که [M],{} دوست دارند که <mask>,دختر خاله ها,plural,female,verbs
دختر خاله ها می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,دختر خاله ها,plural,female,verbs
دختر خاله ها قرار است [M] باشند,{} قرار است <mask> باشند,دختر خاله ها,plural,female,verbs
دختر خاله ها در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,دختر خاله ها,plural,female,verbs
دختر خاله ها باید بتوانند که [M],{} باید بتوانند که <mask>,دختر خاله ها,plural,female,verbs
دختر خاله ها باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,دختر خاله ها,plural,female,verbs
دختر عمه ها دوست دارند که [M],{} دوست دارند که <mask>,دختر عمه ها,plural,female,verbs
دختر عمه ها می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,دختر عمه ها,plural,female,verbs
دختر عمه ها قرار است [M] باشند,{} قرار است <mask> باشند,دختر عمه ها,plural,female,verbs
دختر عمه ها در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,دختر عمه ها,plural,female,verbs
دختر عمه ها باید بتوانند که [M],{} باید بتوانند که <mask>,دختر عمه ها,plural,female,verbs
دختر عمه ها باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,دختر عمه ها,plural,female,verbs
دخترعمو ها دوست دارند که [M],{} دوست دارند که <mask>,دخترعمو ها,plural,female,verbs
دخترعمو ها می‌دانند چگونه [M],{} می‌دانند چگونه <mask>,دخترعمو ها,plural,female,verbs
دخترعمو ها قرار است [M] باشند,{} قرار است <mask> باشند,دخترعمو ها,plural,female,verbs
دخترعمو ها در [M] خیلی خوب هستند,{} در <mask> خیلی خوب هستند,دخترعمو ها,plural,female,verbs
دخترعمو ها باید بتوانند که [M],{} باید بتوانند که <mask>,دخترعمو ها,plural,female,verbs
دخترعمو ها باید بدانند چگونه [M],{} باید بدانند چگونه <mask>,دخترعمو ها,plural,female,verbs
مرد بیشترین [M] هست,{} بیشترین <mask> هست,مرد,singular,male,adjectives
مرد بهترین [M] هست,{} بهترین <mask> هست,مرد,singular,male,adjectives
مرد یک [M] بزرگ هست,{} یک <mask> بزرگ هست,مرد,singular,male,adjectives
مرد به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,مرد,singular,male,adjectives
مرد یک [M] هست,{} یک <mask> هست,مرد,singular,male,adjectives
پدر بیشترین [M] هست,{} بیشترین <mask> هست,پدر,singular,male,adjectives
پدر بهترین [M] هست,{} بهترین <mask> هست,پدر,singular,male,adjectives
پدر یک [M] بزرگ هست,{} یک <mask> بزرگ هست,پدر,singular,male,adjectives
پدر به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,پدر,singular,male,adjectives
پدر یک [M] هست,{} یک <mask> هست,پدر,singular,male,adjectives
پسر بیشترین [M] هست,{} بیشترین <mask> هست,پسر,singular,male,adjectives
پسر بهترین [M] هست,{} بهترین <mask> هست,پسر,singular,male,adjectives
پسر یک [M] بزرگ هست,{} یک <mask> بزرگ هست,پسر,singular,male,adjectives
پسر به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,پسر,singular,male,adjectives
پسر یک [M] هست,{} یک <mask> هست,پسر,singular,male,adjectives
پسر بیشترین [M] هست,{} بیشترین <mask> هست,پسر,singular,male,adjectives
پسر بهترین [M] هست,{} بهترین <mask> هست,پسر,singular,male,adjectives
پسر یک [M] بزرگ هست,{} یک <mask> بزرگ هست,پسر,singular,male,adjectives
پسر به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,پسر,singular,male,adjectives
پسر یک [M] هست,{} یک <mask> هست,پسر,singular,male,adjectives
مرد بیشترین [M] هست,{} بیشترین <mask> هست,مرد,singular,male,adjectives
مرد بهترین [M] هست,{} بهترین <mask> هست,مرد,singular,male,adjectives
مرد یک [M] بزرگ هست,{} یک <mask> بزرگ هست,مرد,singular,male,adjectives
مرد به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,مرد,singular,male,adjectives
مرد یک [M] هست,{} یک <mask> هست,مرد,singular,male,adjectives
برادر بیشترین [M] هست,{} بیشترین <mask> هست,برادر,singular,male,adjectives
برادر بهترین [M] هست,{} بهترین <mask> هست,برادر,singular,male,adjectives
برادر یک [M] بزرگ هست,{} یک <mask> بزرگ هست,برادر,singular,male,adjectives
برادر به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,برادر,singular,male,adjectives
برادر یک [M] هست,{} یک <mask> هست,برادر,singular,male,adjectives
عمو بیشترین [M] هست,{} بیشترین <mask> هست,عمو,singular,male,adjectives
عمو بهترین [M] هست,{} بهترین <mask> هست,عمو,singular,male,adjectives
عمو یک [M] بزرگ هست,{} یک <mask> بزرگ هست,عمو,singular,male,adjectives
عمو به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,عمو,singular,male,adjectives
عمو یک [M] هست,{} یک <mask> هست,عمو,singular,male,adjectives
آقا بیشترین [M] هست,{} بیشترین <mask> هست,آقا,singular,male,adjectives
آقا بهترین [M] هست,{} بهترین <mask> هست,آقا,singular,male,adjectives
آقا یک [M] بزرگ هست,{} یک <mask> بزرگ هست,آقا,singular,male,adjectives
آقا به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,آقا,singular,male,adjectives
آقا یک [M] هست,{} یک <mask> هست,آقا,singular,male,adjectives
داماد بیشترین [M] هست,{} بیشترین <mask> هست,داماد,singular,male,adjectives
داماد بهترین [M] هست,{} بهترین <mask> هست,داماد,singular,male,adjectives
داماد یک [M] بزرگ هست,{} یک <mask> بزرگ هست,داماد,singular,male,adjectives
داماد به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,داماد,singular,male,adjectives
داماد یک [M] هست,{} یک <mask> هست,داماد,singular,male,adjectives
دوست پسر بیشترین [M] هست,{} بیشترین <mask> هست,دوست پسر,singular,male,adjectives
دوست پسر بهترین [M] هست,{} بهترین <mask> هست,دوست پسر,singular,male,adjectives
دوست پسر یک [M] بزرگ هست,{} یک <mask> بزرگ هست,دوست پسر,singular,male,adjectives
دوست پسر به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,دوست پسر,singular,male,adjectives
دوست پسر یک [M] هست,{} یک <mask> هست,دوست پسر,singular,male,adjectives
دایی بیشترین [M] هست,{} بیشترین <mask> هست,دایی,singular,male,adjectives
دایی بهترین [M] هست,{} بهترین <mask> هست,دایی,singular,male,adjectives
دایی یک [M] بزرگ هست,{} یک <mask> بزرگ هست,دایی,singular,male,adjectives
دایی به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,دایی,singular,male,adjectives
دایی یک [M] هست,{} یک <mask> هست,دایی,singular,male,adjectives
پسر خاله بیشترین [M] هست,{} بیشترین <mask> هست,پسر خاله,singular,male,adjectives
پسر خاله بهترین [M] هست,{} بهترین <mask> هست,پسر خاله,singular,male,adjectives
پسر خاله یک [M] بزرگ هست,{} یک <mask> بزرگ هست,پسر خاله,singular,male,adjectives
پسر خاله به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,پسر خاله,singular,male,adjectives
پسر خاله یک [M] هست,{} یک <mask> هست,پسر خاله,singular,male,adjectives
پسردایی بیشترین [M] هست,{} بیشترین <mask> هست,پسردایی,singular,male,adjectives
پسردایی بهترین [M] هست,{} بهترین <mask> هست,پسردایی,singular,male,adjectives
پسردایی یک [M] بزرگ هست,{} یک <mask> بزرگ هست,پسردایی,singular,male,adjectives
پسردایی به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,پسردایی,singular,male,adjectives
پسردایی یک [M] هست,{} یک <mask> هست,پسردایی,singular,male,adjectives
پسر عمه بیشترین [M] هست,{} بیشترین <mask> هست,پسر عمه,singular,male,adjectives
پسر عمه بهترین [M] هست,{} بهترین <mask> هست,پسر عمه,singular,male,adjectives
پسر عمه یک [M] بزرگ هست,{} یک <mask> بزرگ هست,پسر عمه,singular,male,adjectives
پسر عمه به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,پسر عمه,singular,male,adjectives
پسر عمه یک [M] هست,{} یک <mask> هست,پسر عمه,singular,male,adjectives
پسرعمو بیشترین [M] هست,{} بیشترین <mask> هست,پسرعمو,singular,male,adjectives
پسرعمو بهترین [M] هست,{} بهترین <mask> هست,پسرعمو,singular,male,adjectives
پسرعمو یک [M] بزرگ هست,{} یک <mask> بزرگ هست,پسرعمو,singular,male,adjectives
پسرعمو به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,پسرعمو,singular,male,adjectives
پسرعمو یک [M] هست,{} یک <mask> هست,پسرعمو,singular,male,adjectives
مردان بیشترین [M] هستند,{} بیشترین <mask> هستند,مردان,plural,male,adjectives
مردان بهترین [M] هستند,{} بهترین <mask> هستند,مردان,plural,male,adjectives
مردان [M] بزرگ هستند,{} <mask> بزرگ هستند,مردان,plural,male,adjectives
مردان به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,مردان,plural,male,adjectives
مردان [M] هستند,{} <mask> هستند,مردان,plural,male,adjectives
پدران بیشترین [M] هستند,{} بیشترین <mask> هستند,پدران,plural,male,adjectives
پدران بهترین [M] هستند,{} بهترین <mask> هستند,پدران,plural,male,adjectives
پدران [M] بزرگ هستند,{} <mask> بزرگ هستند,پدران,plural,male,adjectives
پدران به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,پدران,plural,male,adjectives
پدران [M] هستند,{} <mask> هستند,پدران,plural,male,adjectives
پسران بیشترین [M] هستند,{} بیشترین <mask> هستند,پسران,plural,male,adjectives
پسران بهترین [M] هستند,{} بهترین <mask> هستند,پسران,plural,male,adjectives
پسران [M] بزرگ هستند,{} <mask> بزرگ هستند,پسران,plural,male,adjectives
پسران به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,پسران,plural,male,adjectives
پسران [M] هستند,{} <mask> هستند,پسران,plural,male,adjectives
پسران بیشترین [M] هستند,{} بیشترین <mask> هستند,پسران,plural,male,adjectives
پسران بهترین [M] هستند,{} بهترین <mask> هستند,پسران,plural,male,adjectives
پسران [M] بزرگ هستند,{} <mask> بزرگ هستند,پسران,plural,male,adjectives
پسران به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,پسران,plural,male,adjectives
پسران [M] هستند,{} <mask> هستند,پسران,plural,male,adjectives
مردان بیشترین [M] هستند,{} بیشترین <mask> هستند,مردان,plural,male,adjectives
مردان بهترین [M] هستند,{} بهترین <mask> هستند,مردان,plural,male,adjectives
مردان [M] بزرگ هستند,{} <mask> بزرگ هستند,مردان,plural,male,adjectives
مردان به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,مردان,plural,male,adjectives
مردان [M] هستند,{} <mask> هستند,مردان,plural,male,adjectives
برادران بیشترین [M] هستند,{} بیشترین <mask> هستند,برادران,plural,male,adjectives
برادران بهترین [M] هستند,{} بهترین <mask> هستند,برادران,plural,male,adjectives
برادران [M] بزرگ هستند,{} <mask> بزرگ هستند,برادران,plural,male,adjectives
برادران به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,برادران,plural,male,adjectives
برادران [M] هستند,{} <mask> هستند,برادران,plural,male,adjectives
عموها بیشترین [M] هستند,{} بیشترین <mask> هستند,عموها,plural,male,adjectives
عموها بهترین [M] هستند,{} بهترین <mask> هستند,عموها,plural,male,adjectives
عموها [M] بزرگ هستند,{} <mask> بزرگ هستند,عموها,plural,male,adjectives
عموها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,عموها,plural,male,adjectives
عموها [M] هستند,{} <mask> هستند,عموها,plural,male,adjectives
آقایان بیشترین [M] هستند,{} بیشترین <mask> هستند,آقایان,plural,male,adjectives
آقایان بهترین [M] هستند,{} بهترین <mask> هستند,آقایان,plural,male,adjectives
آقایان [M] بزرگ هستند,{} <mask> بزرگ هستند,آقایان,plural,male,adjectives
آقایان به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,آقایان,plural,male,adjectives
آقایان [M] هستند,{} <mask> هستند,آقایان,plural,male,adjectives
دامادها بیشترین [M] هستند,{} بیشترین <mask> هستند,دامادها,plural,male,adjectives
دامادها بهترین [M] هستند,{} بهترین <mask> هستند,دامادها,plural,male,adjectives
دامادها [M] بزرگ هستند,{} <mask> بزرگ هستند,دامادها,plural,male,adjectives
دامادها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,دامادها,plural,male,adjectives
دامادها [M] هستند,{} <mask> هستند,دامادها,plural,male,adjectives
دوست پسران بیشترین [M] هستند,{} بیشترین <mask> هستند,دوست پسران,plural,male,adjectives
دوست پسران بهترین [M] هستند,{} بهترین <mask> هستند,دوست پسران,plural,male,adjectives
دوست پسران [M] بزرگ هستند,{} <mask> بزرگ هستند,دوست پسران,plural,male,adjectives
دوست پسران به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,دوست پسران,plural,male,adjectives
دوست پسران [M] هستند,{} <mask> هستند,دوست پسران,plural,male,adjectives
دایی ها بیشترین [M] هستند,{} بیشترین <mask> هستند,دایی ها,plural,male,adjectives
دایی ها بهترین [M] هستند,{} بهترین <mask> هستند,دایی ها,plural,male,adjectives
دایی ها [M] بزرگ هستند,{} <mask> بزرگ هستند,دایی ها,plural,male,adjectives
دایی ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,دایی ها,plural,male,adjectives
دایی ها [M] هستند,{} <mask> هستند,دایی ها,plural,male,adjectives
پسر خاله ها بیشترین [M] هستند,{} بیشترین <mask> هستند,پسر خاله ها,plural,male,adjectives
پسر خاله ها بهترین [M] هستند,{} بهترین <mask> هستند,پسر خاله ها,plural,male,adjectives
پسر خاله ها [M] بزرگ هستند,{} <mask> بزرگ هستند,پسر خاله ها,plural,male,adjectives
پسر خاله ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,پسر خاله ها,plural,male,adjectives
پسر خاله ها [M] هستند,{} <mask> هستند,پسر خاله ها,plural,male,adjectives
پسردایی ها بیشترین [M] هستند,{} بیشترین <mask> هستند,پسردایی ها,plural,male,adjectives
پسردایی ها بهترین [M] هستند,{} بهترین <mask> هستند,پسردایی ها,plural,male,adjectives
پسردایی ها [M] بزرگ هستند,{} <mask> بزرگ هستند,پسردایی ها,plural,male,adjectives
پسردایی ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,پسردایی ها,plural,male,adjectives
پسردایی ها [M] هستند,{} <mask> هستند,پسردایی ها,plural,male,adjectives
پسر عمه ها بیشترین [M] هستند,{} بیشترین <mask> هستند,پسر عمه ها,plural,male,adjectives
پسر عمه ها بهترین [M] هستند,{} بهترین <mask> هستند,پسر عمه ها,plural,male,adjectives
پسر عمه ها [M] بزرگ هستند,{} <mask> بزرگ هستند,پسر عمه ها,plural,male,adjectives
پسر عمه ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,پسر عمه ها,plural,male,adjectives
پسر عمه ها [M] هستند,{} <mask> هستند,پسر عمه ها,plural,male,adjectives
پسرعمو ها بیشترین [M] هستند,{} بیشترین <mask> هستند,پسرعمو ها,plural,male,adjectives
پسرعمو ها بهترین [M] هستند,{} بهترین <mask> هستند,پسرعمو ها,plural,male,adjectives
پسرعمو ها [M] بزرگ هستند,{} <mask> بزرگ هستند,پسرعمو ها,plural,male,adjectives
پسرعمو ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,پسرعمو ها,plural,male,adjectives
پسرعمو ها [M] هستند,{} <mask> هستند,پسرعمو ها,plural,male,adjectives
زن بیشترین [M] هست,{} بیشترین <mask> هست,زن,singular,female,adjectives
زن بهترین [M] هست,{} بهترین <mask> هست,زن,singular,female,adjectives
زن یک [M] بزرگ هست,{} یک <mask> بزرگ هست,زن,singular,female,adjectives
زن به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,زن,singular,female,adjectives
زن یک [M] هست,{} یک <mask> هست,زن,singular,female,adjectives
مادر بیشترین [M] هست,{} بیشترین <mask> هست,مادر,singular,female,adjectives
مادر بهترین [M] هست,{} بهترین <mask> هست,مادر,singular,female,adjectives
مادر یک [M] بزرگ هست,{} یک <mask> بزرگ هست,مادر,singular,female,adjectives
مادر به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,مادر,singular,female,adjectives
مادر یک [M] هست,{} یک <mask> هست,مادر,singular,female,adjectives
دختر بیشترین [M] هست,{} بیشترین <mask> هست,دختر,singular,female,adjectives
دختر بهترین [M] هست,{} بهترین <mask> هست,دختر,singular,female,adjectives
دختر یک [M] بزرگ هست,{} یک <mask> بزرگ هست,دختر,singular,female,adjectives
دختر به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,دختر,singular,female,adjectives
دختر یک [M] هست,{} یک <mask> هست,دختر,singular,female,adjectives
دختر بیشترین [M] هست,{} بیشترین <mask> هست,دختر,singular,female,adjectives
دختر بهترین [M] هست,{} بهترین <mask> هست,دختر,singular,female,adjectives
دختر یک [M] بزرگ هست,{} یک <mask> بزرگ هست,دختر,singular,female,adjectives
